Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:omega_safe
52.692	14:18:2.946	37.196149103	-3.620412316	0.,0.	0.
52.942	14:18:3.196	37.196149103	-3.620412228	0.,0.	0.
53.192	14:18:3.446	37.196149103	-3.620411875	0.,0.	0.
53.442	14:18:3.696	37.196149208	-3.620411654	0.,0.	0.
53.692	14:18:3.946	37.196149103	-3.620411522	0.,0.	0.
53.942	14:18:4.196	37.196149102	-3.620411654	0.,0.	0.
54.192	14:18:4.446	37.196149208	-3.620411654	0.,0.	0.
54.442	14:18:4.696	37.196149102	-3.620411654	0.,0.	0.
54.692	14:18:4.946	37.196149032	-3.620411654	0.,0.	0.
54.942	14:18:5.196	37.196148926	-3.620412006	0.,0.	0.
55.192	14:18:5.446	37.196148749	-3.620412094	0.,0.	0.
55.442	14:18:5.696	37.196148573	-3.620412094	0.,0.	0.
55.692	14:18:5.946	37.196148291	-3.620412094	0.,0.	0.
55.942	14:18:6.196	37.196148220	-3.620412006	0.,0.	0.
56.192	14:18:6.446	37.196148220	-3.620412094	0.,0.	0.
56.442	14:18:6.696	37.196148114	-3.620412094	0.,0.	0.
56.692	14:18:6.946	37.196148008	-3.620412314	0.,0.	0.
56.942	14:18:7.196	37.196148008	-3.620412314	0.,0.	0.
57.192	14:18:7.446	37.196147938	-3.620412314	0.,0.	0.
57.442	14:18:7.696	37.196147761	-3.620412226	0.,0.	0.
57.692	14:18:7.946	37.196147585	-3.620412314	0.,0.	0.
57.942	14:18:8.196	37.196147479	-3.620412446	0.,0.	0.
58.192	14:18:8.446	37.196147373	-3.620412666	0.,0.	0.
58.442	14:18:8.696	37.196147197	-3.620412754	0.,0.	0.
58.692	14:18:8.946	37.196147020	-3.620413019	0.,0.	0.
58.942	14:18:9.196	37.196146844	-3.620413107	0.,0.	0.
59.192	14:18:9.446	37.196146773	-3.620413018	0.,0.	0.
59.442	14:18:9.696	37.196146667	-3.620413018	0.,0.	0.
59.692	14:18:9.946	37.196146561	-3.620413018	0.,0.	0.
59.942	14:18:10.196	37.196146491	-3.620413106	0.,0.	0.
60.192	14:18:10.446	37.196146385	-3.620413106	0.,0.	0.
60.442	14:18:10.696	37.196146314	-3.620413106	0.,0.	0.
60.692	14:18:10.946	37.196146385	-3.620413106	0.,0.	0.
60.942	14:18:11.196	37.196146314	-3.620413018	0.,0.	0.
61.192	14:18:11.446	37.196146314	-3.620412753	0.,0.	0.
61.442	14:18:11.696	37.196146137	-3.620412665	0.,0.	0.
61.692	14:18:11.946	37.196145855	-3.620412665	0.,0.	0.
61.942	14:18:12.196	37.196145679	-3.620412885	0.,0.	0.
62.192	14:18:12.446	37.196145397	-3.620413017	0.,0.	0.
62.442	14:18:12.696	37.196145326	-3.620413017	0.,0.	0.
62.692	14:18:12.946	37.196145326	-3.620413105	0.,0.	0.
62.942	14:18:13.196	37.196145220	-3.620413237	0.,0.	0.
63.192	14:18:13.446	37.196145114	-3.620413325	0.,0.	0.
63.442	14:18:13.696	37.196145043	-3.620413458	0.,0.	0.
63.692	14:18:13.946	37.196144761	-3.620413546	0.,0.	0.
63.942	14:18:14.196	37.196144056	-3.620413678	0.,0.	0.
64.192	14:18:14.446	37.196143774	-3.620413766	0.,0.	0.
64.442	14:18:14.696	37.196143774	-3.620413766	0.,0.	0.
64.692	14:18:14.946	37.196143421	-3.620413898	0.,0.	0.
64.942	14:18:15.196	37.196143421	-3.620413898	0.,0.	0.
65.192	14:18:15.446	37.196142856	-3.620413898	0.,0.	0.
65.442	14:18:15.696	37.196142433	-3.620413898	0.,0.	0.
65.692	14:18:15.946	37.196141798	-3.620414118	0.,0.	0.
65.942	14:18:16.196	37.196141445	-3.620414338	0.,0.	0.
66.192	14:18:16.446	37.196141163	-3.620414470	0.,0.	0.
66.442	14:18:16.696	37.196141163	-3.620414470	0.,0.	0.
66.692	14:18:16.946	37.196140810	-3.620414690	0.,0.	0.
66.942	14:18:17.196	37.196140352	-3.620415131	0.,0.	0.
67.192	14:18:17.446	37.196139999	-3.620415351	0.,0.	0.
67.442	14:18:17.696	37.196139893	-3.620415484	0.,0.	0.
67.692	14:18:17.946	37.196139893	-3.620415483	0.,0.	0.
67.942	14:18:18.196	37.196139540	-3.620415836	0.,0.	0.
68.192	14:18:18.446	37.196139258	-3.620415924	0.,0.	0.
68.442	14:18:18.696	37.196139258	-3.620415924	0.,0.	0.
68.692	14:18:18.946	37.196138976	-3.620416144	0.,0.	0.
68.942	14:18:19.196	37.196138729	-3.620416497	0.,0.	0.
69.192	14:18:19.446	37.196138623	-3.620416849	0.,0.	0.
69.442	14:18:19.696	37.196138623	-3.620416849	0.,0.	0.
69.692	14:18:19.946	37.196138340	-3.620416937	0.,0.	0.
69.942	14:18:20.196	37.196138164	-3.620417290	0.,0.	0.
70.192	14:18:20.446	37.196138093	-3.620417158	0.,0.	0.
70.442	14:18:20.696	37.196137917	-3.620417290	0.,0.	0.
70.692	14:18:20.946	37.196137917	-3.620417290	0.,0.	0.
70.942	14:18:21.196	37.196137740	-3.620417730	0.,0.	0.
71.192	14:18:21.446	37.196137352	-3.620417862	0.,0.	0.
71.442	14:18:21.696	37.196137352	-3.620417862	0.,0.	0.
71.692	14:18:21.946	37.196137352	-3.620417862	0.,0.	0.
71.942	14:18:22.196	37.196136929	-3.620417950	0.,0.	0.
72.192	14:18:22.446	37.196136717	-3.620417950	0.,0.	0.
72.442	14:18:22.696	37.196136717	-3.620417950	0.,0.	0.
72.692	14:18:22.946	37.196136646	-3.620417950	0.,0.	0.
72.942	14:18:23.196	37.196136364	-3.620418391	0.,0.	0.
73.192	14:18:23.446	37.196136082	-3.620418391	0.,0.	0.
73.442	14:18:23.696	37.196136082	-3.620418391	0.,0.	0.
73.692	14:18:23.946	37.196136187	-3.620418523	0.,0.	0.
73.942	14:18:24.196	37.196136645	-3.620419316	0.,0.	0.
74.192	14:18:24.446	37.196137527	-3.620420903	0.,0.	0.
74.442	14:18:24.696	37.196137527	-3.620420903	0.,0.	0.
74.692	14:18:24.946	37.196139255	-3.620423812	0.,0.	0.
74.942	14:18:25.196	37.196139607	-3.620425620	0.,0.	0.
75.192	14:18:25.446	37.196139713	-3.620427559	0.,0.	0.
75.442	14:18:25.696	37.196140242	-3.620429234	0.,0.	0.
75.692	14:18:25.946	37.196140876	-3.620431394	0.,0.	0.
75.942	14:18:26.196	37.196141158	-3.620433863	0.,0.	0.
76.192	14:18:26.446	37.196141158	-3.620436464	0.,0.	0.
76.442	14:18:26.696	37.196141334	-3.620439417	0.,0.	0.
76.692	14:18:26.946	37.196141616	-3.620442238	0.,0.	0.
76.942	14:18:27.196	37.196142040	-3.620445148	0.,0.	0.
77.192	14:18:27.446	37.196142322	-3.620448542	0.,0.	0.
77.442	14:18:27.696	37.196142322	-3.620448542	0.,0.	0.
77.692	14:18:27.946	37.196143591	-3.620455199	0.,0.	0.
77.942	14:18:28.196	37.196144049	-3.620458990	0.,0.	0.
78.192	14:18:28.446	37.196144508	-3.620462737	0.,0.	0.
78.442	14:18:28.696	37.196145213	-3.620466308	0.,0.	0.
78.692	14:18:28.946	37.196145953	-3.620469702	0.,0.	0.
78.942	14:18:29.196	37.196146306	-3.620472083	0.,0.	0.
79.192	14:18:29.446	37.196146482	-3.620473450	0.,0.	0.
79.442	14:18:29.696	37.196146552	-3.620474023	0.,0.	0.
79.692	14:18:29.946	37.196146482	-3.620474111	0.,0.	0.
79.942	14:18:30.196	37.196146376	-3.620474552	0.,0.	0.
80.192	14:18:30.446	37.196146305	-3.620474684	0.,0.	0.
80.442	14:18:30.696	37.196146305	-3.620474684	0.,0.	0.
80.692	14:18:30.946	37.196146305	-3.620474684	0.,0.	0.
80.942	14:18:31.196	37.196145952	-3.620476580	0.,0.	0.
81.192	14:18:31.446	37.196146305	-3.620478387	0.,0.	0.
81.442	14:18:31.696	37.196146763	-3.620480327	0.,0.	0.
81.692	14:18:31.946	37.196147186	-3.620482487	0.,0.	0.
81.942	14:18:32.196	37.196147645	-3.620485044	0.,0.	0.
