Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:py_rel	CBF:px_rel	CBF:omega_safe
30.136	16:33:37.863	37.196104164	-3.620361468	0.,0.	0.,0.	0.,0.	0.
30.386	16:33:38.113	37.196104164	-3.620361468	0.,0.	0.,0.	0.,0.	0.
30.636	16:33:38.363	37.196103701	-3.620361601	0.,0.	0.,0.	0.,0.	0.
30.886	16:33:38.613	37.196103523	-3.620361689	0.,0.	0.,0.	0.,0.	0.
31.136	16:33:38.863	37.196103346	-3.620361688	0.,0.	0.,0.	0.,0.	0.
31.386	16:33:39.113	37.196103346	-3.620361688	0.,0.	0.,0.	0.,0.	0.
31.636	16:33:39.363	37.196103167	-3.620361821	0.,0.	0.,0.	0.,0.	0.
31.886	16:33:39.613	37.196102989	-3.620361909	0.,0.	0.,0.	0.,0.	0.
32.136	16:33:39.863	37.196102989	-3.620361909	0.,0.	0.,0.	0.,0.	0.
32.386	16:33:40.113	37.196102989	-3.620361909	0.,0.	0.,0.	0.,0.	0.
32.636	16:33:40.363	37.196102810	-3.620361686	0.,0.	0.,0.	0.,0.	0.
32.886	16:33:40.613	37.196102632	-3.620361685	0.,0.	0.,0.	0.,0.	0.
33.136	16:33:40.863	37.196102632	-3.620361685	0.,0.	0.,0.	0.,0.	0.
33.386	16:33:41.113	37.196102632	-3.620361685	0.,0.	0.,0.	0.,0.	0.
33.636	16:33:41.363	37.196102170	-3.620361817	0.,0.	0.,0.	0.,0.	0.
33.886	16:33:41.613	37.196102063	-3.620361816	0.,0.	0.,0.	0.,0.	0.
34.136	16:33:41.863	37.196101885	-3.620361816	0.,0.	0.,0.	0.,0.	0.
34.386	16:33:42.113	37.196101885	-3.620361816	0.,0.	0.,0.	0.,0.	0.
34.636	16:33:42.363	37.196101813	-3.620361593	0.,0.	0.,0.	0.,0.	0.
34.886	16:33:42.613	37.196101599	-3.620361593	0.,0.	0.,0.	0.,0.	0.
35.136	16:33:42.863	37.196101599	-3.620361593	0.,0.	0.,0.	0.,0.	0.
35.386	16:33:43.113	37.196101599	-3.620361593	0.,0.	0.,0.	0.,0.	0.
35.636	16:33:43.363	37.196101599	-3.620361593	0.,0.	0.,0.	0.,0.	0.
35.886	16:33:43.613	37.196101349	-3.620361458	0.,0.	0.,0.	0.,0.	0.
36.136	16:33:43.863	37.196101242	-3.620362611	0.,0.	0.,0.	0.,0.	0.
36.386	16:33:44.113	37.196101242	-3.620362611	0.,0.	0.,0.	0.,0.	0.
36.636	16:33:44.363	37.196099963	-3.620365450	0.,0.	0.,0.	0.,0.	0.
36.886	16:33:44.613	37.196099963	-3.620365671	0.,0.	0.,0.	0.,0.	0.
37.136	16:33:44.863	37.196099785	-3.620366115	0.,0.	0.,0.	0.,0.	0.
37.386	16:33:45.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
37.636	16:33:45.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
37.886	16:33:45.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
38.136	16:33:45.863	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
38.386	16:33:46.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
38.636	16:33:46.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
38.886	16:33:46.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
39.136	16:33:46.863	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
39.386	16:33:47.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
39.636	16:33:47.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
39.886	16:33:47.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
40.136	16:33:47.863	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
40.386	16:33:48.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
40.636	16:33:48.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
40.886	16:33:48.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
41.136	16:33:48.863	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
41.386	16:33:49.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
41.636	16:33:49.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
41.886	16:33:49.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
42.136	16:33:49.863	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
42.386	16:33:50.113	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
42.636	16:33:50.363	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
42.886	16:33:50.613	37.196099784	-3.620366780	0.,0.	0.,0.	0.,0.	0.
43.136	16:33:50.863	37.196088874	-3.620378486	0.,0.	0.,0.	0.,0.	0.
43.386	16:33:51.113	37.196088874	-3.620378486	0.,0.	0.,0.	0.,0.	0.
43.636	16:33:51.363	37.196086600	-3.620381547	0.,0.	0.,0.	0.,0.	0.
43.886	16:33:51.613	37.196084967	-3.620384032	0.,0.	0.,0.	0.,0.	0.
44.136	16:33:51.863	37.196082978	-3.620386872	0.,0.	0.,0.	0.,0.	0.
44.386	16:33:52.113	37.196081699	-3.620390067	0.,0.	0.,0.	0.,0.	0.
44.636	16:33:52.363	37.196081237	-3.620393484	0.,0.	0.,0.	0.,0.	0.
44.886	16:33:52.613	37.196080775	-3.620397700	0.,0.	0.,0.	0.,0.	0.
45.136	16:33:52.863	37.196080703	-3.620402005	0.,0.	0.,0.	0.,0.	0.
45.386	16:33:53.113	37.196080703	-3.620402005	0.,0.	0.,0.	0.,0.	0.
45.636	16:33:53.363	37.196082158	-3.620410171	0.,0.	0.,0.	0.,0.	0.
45.886	16:33:53.613	37.196083329	-3.620414165	0.,0.	0.,0.	0.,0.	0.
46.136	16:33:53.863	37.196084038	-3.620418115	0.,0.	0.,0.	0.,0.	0.
46.386	16:33:54.113	37.196084038	-3.620418115	0.,0.	0.,0.	0.,0.	0.
46.636	16:33:54.363	37.196086132	-3.620427213	0.,0.	0.,0.	0.,0.	0.
46.886	16:33:54.613	37.196088227	-3.620433027	0.,0.	0.,0.	0.,0.	0.
47.136	16:33:54.863	37.196090676	-3.620438352	0.,0.	0.,0.	0.,0.	0.
47.386	16:33:55.113	37.196090676	-3.620438352	0.,0.	0.,0.	0.,0.	0.
47.636	16:33:55.363	37.196097776	-3.620447229	0.,0.	0.,0.	0.,0.	0.
47.886	16:33:55.613	37.196097776	-3.620447229	0.,0.	0.,0.	0.,0.	0.
48.136	16:33:55.863	37.196107043	-3.620453798	0.,0.	0.,0.	0.,0.	0.
48.386	16:33:56.113	37.196107043	-3.620453798	0.,0.	0.,0.	0.,0.	0.
48.636	16:33:56.363	37.196117126	-3.620457215	0.,0.	0.,0.	0.,0.	0.
48.886	16:33:56.613	37.196117126	-3.620457215	0.,0.	0.,0.	0.,0.	0.
49.136	16:33:56.863	37.196127210	-3.620458147	0.,0.	0.,0.	0.,0.	0.
49.386	16:33:57.113	37.196127210	-3.620458147	0.,0.	0.,0.	0.,0.	0.
49.636	16:33:57.363	37.196137684	-3.620455307	0.,0.	0.,0.	0.,0.	0.
49.886	16:33:57.613	37.196142406	-3.620452111	0.,0.	0.,0.	0.,0.	0.
50.136	16:33:57.863	37.196142406	-3.620452111	0.,0.	0.,0.	0.,0.	0.
50.386	16:33:58.113	37.196142406	-3.620452111	0.,0.	0.,0.	0.,0.	0.
50.636	16:33:58.363	37.196142406	-3.620452111	0.,0.	0.,0.	0.,0.	0.
50.886	16:33:58.613	37.196160480	-3.620439017	0.,0.	0.,0.	0.,0.	0.
51.136	16:33:58.863	37.196165486	-3.620436176	0.,0.	0.,0.	0.,0.	0.
51.386	16:33:59.113	37.196170138	-3.620433024	0.,0.	0.,0.	0.,0.	0.
51.636	16:33:59.363	37.196174754	-3.620429384	0.,0.	0.,0.	0.,0.	0.
51.886	16:33:59.613	37.196179299	-3.620426321	0.,0.	0.,0.	0.,0.	0.
52.136	16:33:59.863	37.196183845	-3.620422903	0.,0.	0.,0.	0.,0.	0.
52.386	16:34:0.113	37.196187573	-3.620419397	0.,0.	0.,0.	0.,0.	0.
52.636	16:34:0.363	37.196190592	-3.620415535	0.,0.	0.,0.	0.,0.	0.
52.886	16:34:0.613	37.196193113	-3.620410385	0.,0.	0.,0.	0.,0.	0.
53.136	16:34:0.863	37.196194569	-3.620404259	0.,0.	0.,0.	0.,0.	0.
53.386	16:34:1.113	37.196194569	-3.620404259	0.,0.	0.,0.	0.,0.	0.
53.636	16:34:1.363	37.196195670	-3.620390853	0.,0.	0.,0.	0.,0.	0.
53.886	16:34:1.613	37.196195670	-3.620390853	0.,0.	0.,0.	0.,0.	0.
54.136	16:34:1.863	37.196193326	-3.620378601	0.,0.	0.,0.	0.,0.	0.
54.386	16:34:2.113	37.196192402	-3.620373008	0.,0.	0.,0.	0.,0.	0.
54.636	16:34:2.363	37.196191053	-3.620367459	0.,0.	0.,0.	0.,0.	0.
54.886	16:34:2.613	37.196191053	-3.620367458	0.,0.	0.,0.	0.,0.	0.
55.136	16:34:2.863	37.196187750	-3.620356404	0.,0.	0.,0.	0.,0.	0.
55.386	16:34:3.113	37.196185868	-3.620350411	0.,0.	0.,0.	0.,0.	0.
55.636	16:34:3.363	37.196182494	-3.620346060	0.,0.	0.,0.	0.,0.	0.
55.886	16:34:3.613	37.196178836	-3.620342109	0.,0.	0.,0.	0.,0.	0.
56.136	16:34:3.863	37.196174859	-3.620338113	0.,0.	0.,0.	0.,0.	0.
56.386	16:34:4.113	37.196174859	-3.620338113	0.,0.	0.,0.	0.,0.	0.
56.636	16:34:4.363	37.196164133	-3.620332874	0.,0.	0.,0.	0.,0.	0.
56.886	16:34:4.613	37.196164133	-3.620332873	0.,0.	0.,0.	0.,0.	0.
57.136	16:34:4.863	37.196153124	-3.620330387	0.,0.	0.,0.	0.,0.	0.
